,City,Category,Hotel_Name,Locality,Original Price,Discount,Offer Price,Star Rating,Rating,Remarks,Wi-Fi,CCTV Cameras,Doctor on Call,Parking Facility,Power backup,Elevator,Reception,AC
78,Delhi,OYO,O 19133 Oak Tree,"Near Bhagat Chandra Hospital, Mahavir Enclave I, ",1546,50,1546,4.7,0,Excellent,yes,yes,yes,yes,yes,yes,yes,yes
79,Delhi,Capital O,O 85009 The Arrow,"Near Nawada metro station, Opposite pillar 744, ",1014,62,1014,4.5,4,Excellent,yes,yes,yes,yes,yes,yes,yes,yes
80,Delhi,OYO,64076 Discovery Inn,"Near Metro Station, Eastend Apartments, New Ashok Nagar, ",2258,77,514,3.3,9,Fair,yes,yes,yes,yes,yes,yes,yes,yes
81,Delhi,OYO,471 Sehej Continental,"DB GUPTA ROAD KAROLBAGH, ",1478,47,1478,4.8,7,Excellent,no,no,no,no,no,no,no,no
82,Delhi,OYO,Flagship 78740 Tushika Residency,"India, ",1538,63,565,3.1,8,Fair,no,no,no,no,no,no,no,no
83,Delhi,Collection O,O 82480 Galaxy Motel,"masudpur vasant kunj new delhi , ",2339,71,664,4.3,1,Very,yes,yes,yes,yes,yes,yes,yes,yes
84,Delhi,Collection O,O 69662 Hotel Yuvraj,"Gali no. 2, Qutub Vihar, near Goyla Dairy, Dwarka",2339,68,740,3.5,2,Good,yes,yes,yes,yes,yes,yes,yes,yes
85,Delhi,OYO,81701 Dream sky,"Near New Ashok Nagar metro station , ",1485,66,500,2.8,2,Fair,yes,yes,yes,yes,yes,yes,yes,yes
86,Delhi,OYO,45956 Hotel Woodland Dx,"Near New  Railway Station, ",1724,58,713,4.2,0,Very,no,no,no,no,no,no,no,no
87,Delhi,Townhouse,712 Sector 24 Rohini,"Near Rithala Metro and JIMS , Sector 24, Rohini",2709,71,775,3.2,9,Fair,yes,yes,yes,yes,yes,yes,yes,yes
88,Delhi,OYO,86477 Z-Heart,"New , ",2007,56,868,4.7,4,Excellent,yes,yes,yes,yes,yes,yes,yes,yes
89,Delhi,OYO,84801 Narela Inn,"North , ",2080,75,500,1.6,3,Fair,no,no,no,no,no,no,no,no
90,Delhi,OYO,88326 Hotel Cloud 9,", ",1967,59,791,4.6,7,Excellent,no,no,no,no,no,no,no,no
91,Delhi,OYO,6886 Hotel Gold Palace,"Near Faiz Road, Karol Bagh, ",2287,66,759,2.4,9,Fair,yes,yes,yes,yes,yes,yes,yes,yes
92,Delhi,OYO,6801 Hotel Shri Sai International,"Paharganj, ",1247,60,1247,4.7,8,Excellent,yes,yes,yes,yes,yes,yes,yes,yes
93,Delhi,OYO,80919 Hotel Vinayaka Inn,"8881Multani Dhanda, ",2240,75,541,3.3,5,Fair,no,no,no,no,no,no,no,no
94,Delhi,OYO,5401 Hotel Mid Town,Near Karol bagh metro station,1261,48,1261,3.8,9,Good,yes,yes,yes,yes,yes,yes,yes,yes
95,Delhi,OYO,86607 Hotel Mayur,"India - 110033, ",1762,54,799,3.9,8,Good,yes,yes,yes,yes,yes,yes,yes,yes
96,Delhi,SPOT ON,ON 40693 Chahal Guest House,"Near Beside Sonia Hospital, Rajdhani Park, ",1115,50,549,3.4,4,Fair,no,no,no,no,no,no,no,no
97,Delhi,OYO,79029 Jannat Residency,"Nangloi, ",2076,65,713,3.7,5,Good,yes,yes,yes,yes,yes,yes,yes,yes
98,Delhi,OYO,337 Hotel Anand,Near Karol Bagh Metro Station,1014,59,1014,4.5,7,Excellent,yes,yes,yes,yes,yes,yes,yes,yes
99,Delhi,Collection O,O 84003 Hotel Chopra International,"near New  Railway Station and RK Ashram Metro Station, ",1761,48,899,4.4,3,Very,yes,yes,yes,yes,yes,yes,yes,yes
100,Delhi,OYO,88548 Hotel Red Heart,"khasra no 48 main budh bazar road nathupura  near 30 Foota , ",1600,60,636,4.3,2,Very,yes,yes,yes,yes,yes,yes,yes,yes
101,Delhi,OYO,Flagship 75860 Green High,"NEAR FRUIT POWER, Laxmi Nagar Metro Station, ",1372,47,1372,4.5,1,Excellent,yes,yes,yes,yes,yes,yes,yes,yes
102,Delhi,Townhouse,775 Hotel Casanova,"Rajouri Garden Tehsil, ",1672,51,807,2.3,4,Fair,yes,yes,yes,yes,yes,yes,yes,yes
103,Delhi,OYO,77732 Khanpur STAY,"India, ",1790,68,565,3.4,4,Fair,no,no,no,no,no,no,no,no
104,Delhi,OYO,76751 Classic Inn,"Near Divine Hospital, Gali no 12 wazirabad Jagatpur Road",2080,75,514,3.2,1,Fair,no,no,no,no,no,no,no,no
105,Delhi,Townhouse,478 The Grey Orchid,Palam colony ram chowk main market opposite pillar number 57,1612,47,1612,4.6,7,Excellent,no,no,no,no,no,no,no,no
106,Delhi,Townhouse,856 BROSTAY Vasant Kunj,"vasant kunj delhi, ",1216,47,1216,4.7,1,Excellent,no,no,no,no,no,no,no,no
107,Delhi,OYO,46441 1 Plus One Hotel Residency,"Matiala Extension, Sukh Ram Park, Matiala, ",2144,74,541,3.2,4,Fair,no,no,no,no,no,no,no,no
108,Delhi,Collection O,O 42944 Garg Trade Centre Sector 11,"Near Garg Trade Centre Anusha Tower , Sector 16, ",3046,73,808,4.1,7,Very,yes,yes,yes,yes,yes,yes,yes,yes
109,Delhi,OYO,DEL2869 Unique International,"India, ",1000,64,1000,4.6,3,Excellent,yes,yes,yes,yes,yes,yes,yes,yes
110,Delhi,OYO,85103 Relax Residence Hotel,", ",2211,71,625,3.4,6,Fair,yes,yes,yes,yes,yes,yes,yes,yes
111,Delhi,Capital O,O 84658 Hotel Moonlight Inn,"Rohini, ",2527,67,811,3.9,2,Good,no,no,no,no,no,no,no,no
