,Unnamed: 0,Hotel Name,Cost Per Night,Rating,Features,Location,City,Locality,Cost_Price,Discount,Selling_Price,Rate,Customer_Rating,Remarks,Category,Hotel_Name,Parking Facility,wifi_availabilty,AC,Reception,CCTV Cameras,Doctor on Call,Power backup,Elevator
42,42,OYO 13300 Hotel New Platinum,₹891₹199555% offper room per nightView DetailsBook Now,3.8 (492 Ratings)·Good, Elevator  Free Wifi  Geyser  + 8 more,"Saleemnagar Colony, Malakpet, Hyderabad·       3.1 km",Hyderabad,Saleemnagar Colony,1995,55,891,3.8,492 Ratings,Good,OYO,13300 Hotel New Platinum,yes,yes,yes,yes,yes,yes,yes,yes
43,43,SPOT ON 83852 Viand Grand ,₹479₹143966% offper room per nightView DetailsBook Now,3.2 (56 Ratings)·Fair, Parking Facility  Free Wifi  Power backup  + 11 more,"India, Hyderabad·       9.3 km",Hyderabad,India,1439,66,479,3.2,56 Ratings,Fair,SPOT ON,ON 83852 Viand Grand,yes,yes,yes,yes,yes,yes,yes,yes
44,44,Collection O 82763 Hotel Rahul International,₹664₹253473% offper room per nightView DetailsBook Now,2.8 (19 Ratings)·Fair, Reception  Free Wifi  Caretaker  + 19 more,"India, Hyderabad·       6.1 km",Hyderabad,India,2534,73,664,2.8,19 Ratings,Fair,Collection O,O 82763 Hotel Rahul International,yes,yes,yes,yes,yes,yes,yes,yes
45,45,OYO 89208 Devi Residency,₹1216₹231547% offper room per nightView DetailsBook Now,NEW, Elevator  Free Wifi  Geyser  + 6 more,"India, Hyderabad·       5.5 km",Hyderabad,India,2315,47,1216,,,,OYO,89208 Devi Residency,yes,yes,yes,yes,yes,yes,yes,yes
46,46,OYO 28637 Gokul Grand,₹1930₹367547% offper room per nightView DetailsBook Now,4.5 (2723 Ratings)·Excellent, Hair Dryer  Parking Facility  Free Wifi  + 17 more,"Near SR Nagar Police station, Ameerpet, Hyderabad·       7.4 km",Hyderabad,Near SR Nagar Police station,3675,47,1930,4.5,2723 Ratings,Excellent,OYO,28637 Gokul Grand,yes,yes,yes,yes,yes,yes,yes,yes
47,47,OYO 82310 Holiday Inn,₹933₹177747% offper room per nightView DetailsBook Now,4.2 (871 Ratings)·Very Good, Doctor on Call  Parking Facility  Reception  + 16 more,"Telangana, Hyderabad·       6.6 km",Hyderabad,Telangana,1777,47,933,4.2,871 Ratings,Very,OYO,82310 Holiday Inn,no,no,no,no,no,no,no,no
48,48,OYO FLAGSHIP 76687 Ramoji Kothapet,₹899₹231561% offper room per nightView DetailsBook Now,3.9 (3317 Ratings)·Good, Private Entrance  Reception  Free Wifi  + 13 more,"Kothapet, Hyderabad·       5.8 km",Hyderabad,Kothapet,2315,61,899,3.9,3317 Ratings,Good,OYO,FLAGSHIP 76687 Ramoji Kothapet,yes,yes,yes,yes,yes,yes,yes,yes
49,49,SPOT ON 82532 Hotel Vivin,₹371₹100062% offper room per nightView DetailsBook Now,3.3 (294 Ratings)·Fair, Window  Reception  Free Wifi  + 5 more,"India, Hyderabad·       9.3 km",Hyderabad,India,1000,62,371,3.3,294 Ratings,Fair,SPOT ON,ON 82532 Hotel Vivin,yes,yes,yes,yes,yes,yes,yes,yes
50,50,OYO 85469 Star Residential Hotel ,₹625₹163261% offper room per nightView DetailsBook Now,2.4 (10 Ratings)·Fair, Free Wifi  Geyser  Power backup  + 8 more,"Chandrayangutta, Hyderabad·       6.5 km",Hyderabad,Chandrayangutta,1632,61,625,2.4,10 Ratings,Fair,OYO,85469 Star Residential Hotel,yes,yes,yes,yes,yes,yes,yes,yes
51,51,OYO 69510 Hotel 3m,₹985₹187547% offper room per nightView DetailsBook Now,3.8 (260 Ratings)·Good, Private Entrance  Reception  Free Wifi  + 17 more,"Near Nampally Metro Station, Hyderabad·       2.0 km",Hyderabad,Near Nampally Metro Station,1875,47,985,3.8,260 Ratings,Good,OYO,69510 Hotel 3m,yes,yes,yes,yes,yes,yes,yes,yes
52,52,Capital O 65104 Che Sigma Hotel,₹747₹257671% offper room per nightView DetailsBook Now,3.4 (3194 Ratings)·Fair, Parking Facility  Reception  Free Wifi  + 18 more,"Near Narayana High School, Chinthalkunta, Hyderabad·       8.6 km",Hyderabad,Near Narayana High School,2576,71,747,3.4,3194 Ratings,Fair,Capital O,O 65104 Che Sigma Hotel,yes,yes,yes,yes,yes,yes,yes,yes
53,53, OYO 76332 Hotel Sai Manikanta Inn,₹968₹223456% offper room per nightView DetailsBook Now,3.0 (276 Ratings)·Fair, Doctor on Call  Reception  Free Wifi  + 12 more,"Indiaf, Hyderabad·       4.5 km",Hyderabad,Indiaf,2234,56,968,3.0,276 Ratings,Fair,OYO,76332 Hotel Sai Manikanta Inn,yes,yes,yes,yes,yes,yes,yes,yes
54,54,OYO Townhouse RCC Majestic 397 LB Nagar,₹1807₹344147% offper room per nightView DetailsBook Now,4.7 (2475 Ratings)·Excellent, Parking Facility  Free Wifi  AC  + 5 more,"Champapet, Hyderabad·       6.1 km",Hyderabad,Champapet,3441,47,1807,4.7,2475 Ratings,Excellent,OYO,Townhouse RCC Majestic 397 LB Nagar,yes,yes,yes,yes,yes,yes,yes,yes
55,55,SPOT ON 48349 Sri Sai Lohith Lodge,₹500₹119158% offper room per nightView DetailsBook Now,4.1 (1172 Ratings)·Very Good, Reception  Geyser  Daily Housekeeping  + 6 more,"Near Regional Passport Office, Shivaji Nagar, Hyderabad·       6.1 km",Hyderabad,Near Regional Passport Office,1191,58,500,4.1,1172 Ratings,Very,SPOT ON,ON 48349 Sri Sai Lohith Lodge,no,no,no,no,no,no,no,no
56,56,OYO Flagship 76333 Shannu Residency,₹794₹174554% offper room per nightView DetailsBook Now,3.7 (1017 Ratings)·Good, Reception  Free Wifi  Caretaker  + 14 more,"India, Hyderabad·       5.4 km",Hyderabad,India,1745,54,794,3.7,1017 Ratings,Good,OYO,Flagship 76333 Shannu Residency,yes,yes,yes,yes,yes,yes,yes,yes
57,57,OYO Flagship 67479 Alpine Glow Zenith,₹1012₹240957% offper room per nightView DetailsBook Now,4.0 (1530 Ratings)·Very Good, Reception  Free Wifi  Power backup  + 12 more,"Near Malani Colony, Bowenpally, Hyderabad·       8.0 km",Hyderabad,Near Malani Colony,2409,57,1012,4.0,1530 Ratings,Very,OYO,Flagship 67479 Alpine Glow Zenith,yes,yes,yes,yes,yes,yes,yes,yes
58,58,OYO 40869 White Ridge ,₹939₹211055% offper room per nightView DetailsBook Now,4.2 (1534 Ratings)·Very Good, Reception  Free Wifi  Power backup  + 11 more,"Near Sanjeevini Hospital, Kothapet road, Hyderabad·       7.1 km",Hyderabad,Near Sanjeevini Hospital,2110,55,939,4.2,1534 Ratings,Very,OYO,40869 White Ridge,yes,yes,yes,yes,yes,yes,yes,yes
59,59,OYO 84232 Hotel Lavish Stay,₹625₹208069% offper room per nightView DetailsBook Now,3.4 (171 Ratings)·Fair, Reception  Geyser  CCTV Cameras  + 9 more,"LB Nagar Siris Road, St.Alphonsa Grammar School Kaman,Above Bhuvesh Hospital,Hyderabad,500074·       7.8 km",Hyderabad,LB Nagar Siris Road,2080,69,625,3.4,171 Ratings,Fair,OYO,84232 Hotel Lavish Stay,no,no,no,no,no,no,no,no
60,60,SPOT ON 74966 Shree Amardeep Hotel,₹778₹148147% offper room per nightView DetailsBook Now,3.8 (529 Ratings)·Good, TV  Parking Facility  AC  + 12 more,"Near Kims hospital, Pan Bazar, Hyderabad·       5.5 km",Hyderabad,Near Kims hospital,1481,47,778,3.8,529 Ratings,Good,SPOT ON,ON 74966 Shree Amardeep Hotel,no,no,no,no,no,no,no,no
61,61,OYO HOME 79924 PRAMOD PRIME HOMES,₹949₹238160% offper room per nightView DetailsBook Now,4.2 (1212 Ratings)·Very Good, Free Wifi  TV  AC ,"nagole, Hyderabad·       8.0 km",Hyderabad,nagole,2381,60,949,4.2,1212 Ratings,Very,OYO,HOME 79924 PRAMOD PRIME HOMES,yes,yes,yes,yes,yes,yes,yes,yes
62,62,Capital O 15959 The City Park,₹1014₹225354% offper room per nightView DetailsBook Now,3.5 (1572 Ratings)·Good, Reception  Free Wifi  Power backup  + 13 more,"Near The City Park, Chirag AlicLane, Hyderabad·       1.5 km",Hyderabad,Near The City Park,2253,54,1014,3.5,1572 Ratings,Good,Capital O,O 15959 The City Park,yes,yes,yes,yes,yes,yes,yes,yes
63,63,OYO 81907 Hotel Fortune Residency,₹799₹192058% offper room per nightView DetailsBook Now,3.6 (441 Ratings)·Good, Reception  Free Wifi  TV  + 12 more,"India, Hyderabad·       1.1 km",Hyderabad,India,1920,58,799,3.6,441 Ratings,Good,OYO,81907 Hotel Fortune Residency,yes,yes,yes,yes,yes,yes,yes,yes
64,64,OYO 15140 Hotel Priya Residency,₹891₹169747% offper room per nightView DetailsBook Now,3.9 (795 Ratings)·Good, AC  AC  TV  + 1 more,"Near Raniganj, MG Road, Hyderabad·       5.4 km",Hyderabad,Near Raniganj,1697,47,891,3.9,795 Ratings,Good,OYO,15140 Hotel Priya Residency,no,no,no,no,no,no,no,no
65,65,OYO HOME 88937 Kanaka Durga Home Stay ,₹1014₹193147% offper room per nightView DetailsBook Now,NEW, Free Wifi  Geyser  CCTV Cameras  + 4 more,"500001 , Hyderabad·       0.4 km",Hyderabad,500001 ,1931,47,1014,,,,OYO,HOME 88937 Kanaka Durga Home Stay,yes,yes,yes,yes,yes,yes,yes,yes
66,66,OYO 795 Saranggi Boutique Hotel,₹829₹239265% offper room per nightView DetailsBook Now,3.9 (375 Ratings)·Good, Hair Dryer  Free Wifi  AC  + 8 more,"Centrally Located, Near ICICI Bank, Sindhi Colony, Hyderabad·       6.2 km",Hyderabad,Centrally Located,2392,65,829,3.9,375 Ratings,Good,OYO,795 Saranggi Boutique Hotel,yes,yes,yes,yes,yes,yes,yes,yes
67,67,OYO 40166 Hotel My Choice,₹943₹179747% offper room per nightView DetailsBook Now,3.8 (285 Ratings)·Good, Reception  Free Wifi  24/7 Checkin  + 13 more,"Near Karachi Bakery, Malakunta, Hyderabad·       1.3 km",Hyderabad,Near Karachi Bakery,1797,47,943,3.8,285 Ratings,Good,OYO,40166 Hotel My Choice,yes,yes,yes,yes,yes,yes,yes,yes
68,68,Capital O 72734 Hotel Sri Sai Inn,₹1014₹242658% offper room per nightView DetailsBook Now,3.2 (422 Ratings)·Fair, AC  TV  Mini Fridge  + 2 more,"Near Narayanaguda , Kachiguda Station Road, Hyderabad·       0.8 km",Hyderabad,Near Narayanaguda ,2426,58,1014,3.2,422 Ratings,Fair,Capital O,O 72734 Hotel Sri Sai Inn,no,no,no,no,no,no,no,no
69,69,OYO Flagship 75583 Thatipally Mansion,₹869₹193955% offper room per nightView DetailsBook Now,3.9 (1279 Ratings)·Good, Reception  Free Wifi  Power backup  + 10 more,"Kothapet., Hyderabad·       6.8 km",Hyderabad,Kothapet.,1939,55,869,3.9,1279 Ratings,Good,OYO,Flagship 75583 Thatipally Mansion,yes,yes,yes,yes,yes,yes,yes,yes
70,70,OYO 89107 Royal Stay ,₹1528₹291147% offper room per nightView DetailsBook Now,NEW, Reception  Free Wifi  AC  + 12 more,"3-4-400/36/1 Upperpally Rajendranagar Ranga Reddy. Hyderabad. Telangana, Hyderabad·       8.3 km",Hyderabad,3-4-400/36/1 Upperpally Rajendranagar Ranga Reddy. Hyderabad. Telangana,2911,47,1528,,,,OYO,89107 Royal Stay,yes,yes,yes,yes,yes,yes,yes,yes
71,71,Townhouse OAK THE MARGI HOTEL,₹1917₹365147% offper room per nightView DetailsBook Now,4.3 (308 Ratings)·Very Good, Free Wifi  Attached Washroom  Power backup  + 15 more,"Hyderabad Hyderabad TelanganaIndia500045, Hyderabad·       8.0 km",Hyderabad,Hyderabad Hyderabad TelanganaIndia500045,3651,47,1917,4.3,308 Ratings,Very,Townhouse,OAK THE MARGI HOTEL,yes,yes,yes,yes,yes,yes,yes,yes
72,72,OYO 75379 Raja Ram Hotel,₹725₹159454% offper room per nightView DetailsBook Now,3.7 (1041 Ratings)·Good, Reception  Free Wifi  Power backup  + 14 more,"Near Bozai functional hall, Balanagar, Hyderabad·       9.3 km",Hyderabad,Near Bozai functional hall,1594,54,725,3.7,1041 Ratings,Good,OYO,75379 Raja Ram Hotel,yes,yes,yes,yes,yes,yes,yes,yes
73,73,OYO 14726 Hotel Vaishnavi park,₹891₹180850% offper room per nightView DetailsBook Now,3.5 (1599 Ratings)·Good, Elevator  Free Wifi  Geyser  + 7 more,"Near Monda Market, Shivaji Nagar, Hyderabad·       5.8 km",Hyderabad,Near Monda Market,1808,50,891,3.5,1599 Ratings,Good,OYO,14726 Hotel Vaishnavi park,yes,yes,yes,yes,yes,yes,yes,yes
74,74,OYO 70733 Hotel Regal,₹1216₹231547% offper room per nightView DetailsBook Now,4.0 (1548 Ratings)·Very Good, Private Entrance  Reception  Free Wifi  + 16 more,"M.G Road, Hyderabad·       6.4 km",Hyderabad,M.G Road,2315,47,1216,4.0,1548 Ratings,Very,OYO,70733 Hotel Regal,yes,yes,yes,yes,yes,yes,yes,yes
75,75,Collection O 81203 Shining Suites,₹740₹188560% offper room per nightView DetailsBook Now,3.8 (399 Ratings)·Good, Free Wifi  Geyser  Daily Housekeeping  + 7 more,"near erragadda metro, Hyderabad·       10.0 km",Hyderabad,near erragadda metro,1885,60,740,3.8,399 Ratings,Good,Collection O,O 81203 Shining Suites,yes,yes,yes,yes,yes,yes,yes,yes
76,76,OYO 13550 Hotel Pushpa Grand,₹818₹179754% offper room per nightView DetailsBook Now,2.9 (130 Ratings)·Fair, Parking Facility  Elevator  Free Wifi  + 7 more,"Near Star Super Market, Chintalkunta, Hyderabad·       9.8 km",Hyderabad,Near Star Super Market,1797,54,818,2.9,130 Ratings,Fair,OYO,13550 Hotel Pushpa Grand,yes,yes,yes,yes,yes,yes,yes,yes
77,77,Capital O 49135 Sri Simran Park Hotel,₹821₹228864% offper room per nightView DetailsBook Now,3.4 (505 Ratings)·Fair, Parking Facility  Free Wifi  Power backup  + 17 more,"Near Railway station, Secunderabad, Hyderabad·       6.0 km",Hyderabad,Near Railway station,2288,64,821,3.4,505 Ratings,Fair,Capital O,O 49135 Sri Simran Park Hotel,yes,yes,yes,yes,yes,yes,yes,yes
78,78,OYO 9936 Elite Inn,₹899₹231761% offper room per nightView DetailsBook Now,4.0 (429 Ratings)·Very Good, Elevator  Free Wifi  Geyser  + 7 more,"Near Chitta Reddy colony, Tadbund, Hyderabad·       7.8 km",Hyderabad,Near Chitta Reddy colony,2317,61,899,4.0,429 Ratings,Very,OYO,9936 Elite Inn,yes,yes,yes,yes,yes,yes,yes,yes
79,79,OYO Flagship 83824 Hotel R Square,₹1014₹193147% offper room per nightView DetailsBook Now,3.3 (265 Ratings)·Fair, Parking Facility  Reception  Free Wifi  + 13 more,"India, Hyderabad·       4.6 km",Hyderabad,India,1931,47,1014,3.3,265 Ratings,Fair,OYO,Flagship 83824 Hotel R Square,yes,yes,yes,yes,yes,yes,yes,yes
80,80,OYO Flagship 83824 Hotel R Square,₹1014₹193147% offper room per nightView DetailsBook Now,3.3 (265 Ratings)·Fair, Parking Facility  Reception  Free Wifi  + 13 more,"India, Hyderabad·       4.6 km",Hyderabad,India,1931,47,1014,3.3,265 Ratings,Fair,OYO,Flagship 83824 Hotel R Square,yes,yes,yes,yes,yes,yes,yes,yes
81,81,Silverkey Executive Stays 22453 Himayat Nagar Circle,₹1468₹279747% offper room per nightView DetailsBook Now,3.7 (2196 Ratings)·Good, Private Entrance  Hair Dryer  Reception  + 17 more,"Hyderabad., Hyderabad·       1.3 km",Hyderabad,Hyderabad.,2797,47,1468,3.7,2196 Ratings,Good,,Executive Stays 22453 Himayat Nagar Circle,no,no,no,no,no,no,no,no
82,82,OYO 37427 Hotel Shannu Grand,₹922₹178848% offper room per nightView DetailsBook Now,3.9 (602 Ratings)·Good, Parking Facility  Reception  Free Wifi  + 14 more,"Near Apollo Pharmacy, Secunderabad, Hyderabad·       8.9 km",Hyderabad,Near Apollo Pharmacy,1788,48,922,3.9,602 Ratings,Good,OYO,37427 Hotel Shannu Grand,yes,yes,yes,yes,yes,yes,yes,yes
83,83,OYO 71234 Hotel Shyam ,₹799₹185556% offper room per nightView DetailsBook Now,3.5 (727 Ratings)·Good, Reception  Free Wifi  24/7 Checkin  + 16 more,"M.G.Road, Hyderabad·       6.4 km",Hyderabad,M.G.Road,1855,56,799,3.5,727 Ratings,Good,OYO,71234 Hotel Shyam,yes,yes,yes,yes,yes,yes,yes,yes
84,84, OYO Flagship 76655 Goldhorn Hotels Mehdipatnam,₹1439₹274147% offper room per nightView DetailsBook Now,3.9 (1478 Ratings)·Good, Living Room  Cot  Washing Machine  + 83 more,"Mehdipatnam, Hyderabad·       5.3 km",Hyderabad,Mehdipatnam,2741,47,1439,3.9,1478 Ratings,Good,OYO,Flagship 76655 Goldhorn Hotels Mehdipatnam,no,no,no,no,no,no,no,no
85,85,CAPITAL O 30955 Alpine Glow Pinnacle,₹1449₹275947% offper room per nightView DetailsBook Now,4.3 (1667 Ratings)·Very Good, Reception  Power backup  Refrigerator  + 38 more,"Near Veg Market, Bowenpally, Hyderabad·       9.4 km",Hyderabad,Near Veg Market,2759,47,1449,4.3,1667 Ratings,Very,,O 30955 Alpine Glow Pinnacle,no,no,no,no,no,no,no,no
86,86,Capital O 24450 Hotel Surabhi,₹871₹307971% offper room per nightView DetailsBook Now,3.3 (445 Ratings)·Fair, Parking Facility  Reception  Free Wifi  + 20 more,"Near Vishnu Theatre, Vijayawada Highway,Hyderabad·       9.6 km",Hyderabad,Near Vishnu Theatre,3079,71,871,3.3,445 Ratings,Fair,Capital O,O 24450 Hotel Surabhi,yes,yes,yes,yes,yes,yes,yes,yes
87,87,Collection O 77471 Kumar Residency Inn,₹1524₹290247% offper room per nightView DetailsBook Now,4.1 (918 Ratings)·Very Good, Reception  Free Wifi  Power backup  + 12 more,"Kothapet, Hyderabad·       7.0 km",Hyderabad,Kothapet,2902,47,1524,4.1,918 Ratings,Very,Collection O,O 77471 Kumar Residency Inn,yes,yes,yes,yes,yes,yes,yes,yes
88,88,Townhouse 710 Hotel Regal,₹1452₹276547% offper room per nightView DetailsBook Now,3.7 (259 Ratings)·Good, Parking Facility  Free Wifi  Power backup  + 10 more,"Nampally station road, Adj Lane Metro Foot Wear, Opp. Iskcon Temple, Abids,  Hyderabad, Telangana, 500001·       1.2 km",Hyderabad,Nampally station road,2765,47,1452,3.7,259 Ratings,Good,Townhouse,710 Hotel Regal,yes,yes,yes,yes,yes,yes,yes,yes
89,89,OYO Flagship 469 Kachiguda Railway Station,₹1881₹358247% offper room per nightView DetailsBook Now,3.4 (1537 Ratings)·Fair, Living Room  Reception  Washing Machine  + 109 more,"Near Kumar Theatre, Kachiguda, Hyderabad·       1.1 km",Hyderabad,Near Kumar Theatre,3582,47,1881,3.4,1537 Ratings,Fair,OYO,Flagship 469 Kachiguda Railway Station,no,no,no,no,no,no,no,no
90,90,Capital O 86296 Hotel Panchavati Grand,₹1726₹328847% offper room per nightView DetailsBook Now,4.1 (136 Ratings)·Very Good, Parking Facility  Reception  Free Wifi  + 19 more,"Secunderabad, Hyderabad·       5.7 km",Hyderabad,Secunderabad,3288,47,1726,4.1,136 Ratings,Very,Capital O,O 86296 Hotel Panchavati Grand,yes,yes,yes,yes,yes,yes,yes,yes
91,91,OYO 5527 Hanvi Inn,₹899₹208056% offper room per nightView DetailsBook Now,2.7 (73 Ratings)·Fair, Free Wifi  Power backup  Card Payment  + 12 more,"Near Reddys Lab, Banjara Hills, Hyderabad·       6.9 km",Hyderabad,Near Reddys Lab,2080,56,899,2.7,73 Ratings,Fair,OYO,5527 Hanvi Inn,yes,yes,yes,yes,yes,yes,yes,yes
92,92,Capital O 44354 Jubilee Banjara Suites,₹1400₹279649% offper room per nightView DetailsBook Now,3.9 (840 Ratings)·Good, Free Wifi  AC  AC  + 5 more,"Near American Hospital, Banjarahills, Hyderabad·       6.7 km",Hyderabad,Near American Hospital,2796,49,1400,3.9,840 Ratings,Good,Capital O,O 44354 Jubilee Banjara Suites,yes,yes,yes,yes,yes,yes,yes,yes
93,93,Collection O 9386 Hotel Happy Stay,₹925₹242661% offper room per nightView DetailsBook Now,3.3 (370 Ratings)·Fair, AC  TV ,"Near ICICI Bank, Begumpet, Hyderabad·       6.9 km",Hyderabad,Near ICICI Bank,2426,61,925,3.3,370 Ratings,Fair,Collection O,O 9386 Hotel Happy Stay,no,no,no,no,no,no,no,no
94,94,OYO Home 84000 Peaceful Stay Villa,₹1014₹193147% offper room per nightView DetailsBook Now,3.5 (236 Ratings)·Good, Parking Facility  Free Wifi  Geyser  + 6 more,"India, Hyderabad·       6.4 km",Hyderabad,India,1931,47,1014,3.5,236 Ratings,Good,OYO,Home 84000 Peaceful Stay Villa,yes,yes,yes,yes,yes,yes,yes,yes
95,95,Capital O 89127 Hotel Samrat Palace,₹1594₹303747% offper room per nightView DetailsBook Now,NEW, Reception  Free Wifi  Caretaker  + 8 more,"India, Hyderabad·       1.9 km",Hyderabad,India,3037,47,1594,,,,Capital O,O 89127 Hotel Samrat Palace,yes,yes,yes,yes,yes,yes,yes,yes
96,96,OYO 26650 R Square,₹899₹215658% offper room per nightView DetailsBook Now,3.3 (313 Ratings)·Fair, Reception  Free Wifi  Power backup  + 15 more,"Near L B nagar D- Mart, Hyderabad·       7.6 km",Hyderabad,Near L B nagar D- Mart,2156,58,899,3.3,313 Ratings,Fair,OYO,26650 R Square,yes,yes,yes,yes,yes,yes,yes,yes
97,97,OYO 4376 Imax Inn,₹1809₹344547% offper room per nightView DetailsBook Now,3.4 (233 Ratings)·Fair, Parking Facility  Reception  Ticket Tour Assistance  + 21 more,"Near Shravana Hospital, Malakunta Road, Hyderabad·       1.4 km",Hyderabad,Near Shravana Hospital,3445,47,1809,3.4,233 Ratings,Fair,OYO,4376 Imax Inn,no,no,no,no,no,no,no,no
98,98,OYO Townhouse 862 Che Sigma,₹1432₹272747% offper room per nightView DetailsBook Now,4.2 (838 Ratings)·Very Good, Parking Facility  Reception  Free Wifi  + 14 more,"Hyderabad, Hyderabad·       9.0 km",Hyderabad,Hyderabad,2727,47,1432,4.2,838 Ratings,Very,OYO,Townhouse 862 Che Sigma,yes,yes,yes,yes,yes,yes,yes,yes
99,99,Collection O 42514 Banjara Hills,₹2332₹444147% offper room per nightView DetailsBook Now,4.3 (993 Ratings)·Very Good, Reception  Ticket Tour Assistance  Security  + 14 more,"Near Aasha hospital, Venkat Nagar, Hyderabad·       7.1 km",Hyderabad,Near Aasha hospital,4441,47,2332,4.3,993 Ratings,Very,Collection O,O 42514 Banjara Hills,no,no,no,no,no,no,no,no
100,100,OYO 78865 Raga Stays ,₹1222₹232747% offper room per nightView DetailsBook Now,3.6 (809 Ratings)·Good, Parking Facility  Elevator  Free Wifi  + 6 more,"Beside Reliance Trends , LB Nagar Circle ,LB Nagar , Hyderabad·       8.4 km",Hyderabad,Beside Reliance Trends ,2327,47,1222,3.6,809 Ratings,Good,OYO,78865 Raga Stays,yes,yes,yes,yes,yes,yes,yes,yes
101,101,Collection O 80304 Hotel PNR Banjara Hills,₹1402₹267147% offper room per nightView DetailsBook Now,3.8 (574 Ratings)·Good, Reception  Free Wifi  Security  + 12 more,"Road No 10 Banjara Hills Guru Bramaha, Hyderabad·       6.4 km",Hyderabad,Road No 10 Banjara Hills Guru Bramaha,2671,47,1402,3.8,574 Ratings,Good,Collection O,O 80304 Hotel PNR Banjara Hills,yes,yes,yes,yes,yes,yes,yes,yes
102,102,Capital O 78864 Hotel Ragas,₹1014₹193247% offper room per nightView DetailsBook Now,3.2 (582 Ratings)·Fair, Parking Facility  Queen Sized Bed  Free Wifi  + 16 more,"Near Sagar Ring Road, Reddy Colony, Lb Nagar,Hyderabad·       8.0 km",Hyderabad,Near Sagar Ring Road,1932,47,1014,3.2,582 Ratings,Fair,Capital O,O 78864 Hotel Ragas,yes,yes,yes,yes,yes,yes,yes,yes
103,103,Collection O 7601 Hotel Park Heights Banjara Hills,₹1262₹240447% offper room per nightView DetailsBook Now,3.8 (21 Ratings)·Good, Parking Facility  Free Wifi  Power backup  + 15 more,"Telangana , Hyderabad·       6.6 km",Hyderabad,Telangana ,2404,47,1262,3.8,21 Ratings,Good,Collection O,O 7601 Hotel Park Heights Banjara Hills,yes,yes,yes,yes,yes,yes,yes,yes
104,104,Collection O 3169 Hotel Lotus Grand,₹1444₹274947% offper room per nightView DetailsBook Now,3.2 (511 Ratings)·Fair, Free Wifi  Power backup  TV  + 11 more,"Secunderabad, Hyderabad·       5.8 km",Hyderabad,Secunderabad,2749,47,1444,3.2,511 Ratings,Fair,Collection O,O 3169 Hotel Lotus Grand,yes,yes,yes,yes,yes,yes,yes,yes
105,105,OYO Flagship 11376 Hotel Golden Park( VVG Grand),₹1445₹275247% offper room per nightView DetailsBook Now,3.3 (360 Ratings)·Fair, AC  TV  TV  + 3 more,"Near Satyam Theatre, Ameerpet, Hyderabad·       7.1 km",Hyderabad,Near Satyam Theatre,2752,47,1445,3.3,360 Ratings,Fair,OYO,Flagship 11376 Hotel Golden Park( VVG Grand),no,no,no,no,no,no,no,no
106,106,OYO 1410 Country Club Begumpet,₹2107₹401247% offper room per nightView DetailsBook Now,3.4 (371 Ratings)·Fair, Parking Facility  Reception  Free Wifi  + 14 more,"Near Railway Station, Begumpet, Hyderabad·       6.7 km",Hyderabad,Near Railway Station,4012,47,2107,3.4,371 Ratings,Fair,OYO,1410 Country Club Begumpet,yes,yes,yes,yes,yes,yes,yes,yes
107,107,OYO Townhouse White Ridge 112 Shivam Road,Sold Out,4.3 (2089 Ratings)·Very Good, Reception  Public Washroom  Caretaker  + 24 more,"New Nallakunta, Hyderabad·       2.7 km",Hyderabad,New Nallakunta,,,,4.3,2089 Ratings,Very,OYO,Townhouse White Ridge 112 Shivam Road,no,no,no,no,no,no,no,no
108,108,OYO Flagship 83917 Lakeview Palace,Sold Out,4.7 (354 Ratings)·Excellent, Reception  Free Wifi  Caretaker  + 12 more,"Hyderabad, Hyderabad·       4.9 km",Hyderabad,Hyderabad,,,,4.7,354 Ratings,Excellent,OYO,Flagship 83917 Lakeview Palace,yes,yes,yes,yes,yes,yes,yes,yes
109,109,OYO HYD1516 Hotel Aroma Classic,Sold Out,4.2 (847 Ratings)·Very Good, Elevator  Free Wifi  Geyser  + 7 more,"Ghosha Mahal, Hyderabad·       2.1 km",Hyderabad,Ghosha Mahal,,,,4.2,847 Ratings,Very,OYO,HYD1516 Hotel Aroma Classic,yes,yes,yes,yes,yes,yes,yes,yes
110,110,OYO 6651 Hotel Srujana Stay Inn,Sold Out,4.1 (1079 Ratings)·Very Good, Parking Facility  Reception  Free Wifi  + 11 more,"Opposite Public Garden Nampally, Hyderabad·       2.0 km",Hyderabad,Opposite Public Garden Nampally,,,,4.1,1079 Ratings,Very,OYO,6651 Hotel Srujana Stay Inn,yes,yes,yes,yes,yes,yes,yes,yes
111,111,Collection O 63872 Enchanting Spaces,Sold Out,4.2 (1331 Ratings)·Very Good, Parking Facility  Reception  Free Wifi  + 18 more,"Near Railway Officer Colony, Walker Town, Hyderabad·       5.4 km",Hyderabad,Near Railway Officer Colony,,,,4.2,1331 Ratings,Very,Collection O,O 63872 Enchanting Spaces,yes,yes,yes,yes,yes,yes,yes,yes
112,112,OYO 71210 Jubilee Homes,Sold Out,4.5 (252 Ratings)·Excellent, AC  TV ,"Centrally Located, Near Annapurna Studios, Jubilee Hills, Hyderabad·       8.1 km",Hyderabad,Centrally Located,,,,4.5,252 Ratings,Excellent,OYO,71210 Jubilee Homes,no,no,no,no,no,no,no,no
