,Unnamed: 0,Hotel Name,Cost Per Night,Rating,Features,Location,Selling_Price,Cost_Price,Discount,City,Locality,Rate,Customer_Rating,Remarks,Category,wifi_availabilty,Hotel_Name,Elevator,Parking Facility,Power backup,Doctor on Call,CCTV Cameras,Reception,AC
48,48,OYO Silver Key 77709 Stay Heaven,₹1318₹250947% offper room per nightView DetailsBook Now,3.5 (1268 Ratings)·Good, Free Wifi  AC  TV ,"Chhatarpur, Delhi",1318.0,1318.0,47.0,Delhi,"Chhatarpur, ",3.5,8 Ratings,Good,OYO,yes,Silver Key 77709 Stay Heaven,yes,yes,yes,yes,yes,yes,yes
49,49,OYO 47447 Flagship Designer Stay GD Goenka School,₹641₹219270% offper room per nightView DetailsBook Now,4.0 (108 Ratings)·Very Good, Free Wifi  Geyser  AC  + 3 more,Plot no 42 Pocket no 5 Sector 22 Near GD Goenka Public School,641.0,2192.0,70.0,Delhi,Plot no 42 Pocket no 5 Sector 22 Near GD Goenka Public School,4.0,8 Ratings,Very,OYO,yes,47447 Flagship Designer Stay GD Goenka School,yes,yes,yes,yes,yes,yes,yes
50,50,OYO 5985 Hotel Priya Palace,₹625₹224072% offper room per nightView DetailsBook Now,2.7 (28 Ratings)·Fair, Elevator  Free Wifi  Geyser  + 8 more,"Near New Delhi Railway Station, Delhi",625.0,2240.0,72.0,Delhi,"Near New  Railway Station, ",2.7,8 Ratings,Fair,OYO,yes,5985 Hotel Priya Palace,yes,yes,yes,yes,yes,yes,yes
51,51,OYO 89006 Bhera Residency,₹821₹180454% offper room per nightView DetailsBook Now,NEW, Free Wifi  Geyser  CCTV Cameras  + 5 more,"Delhi, Delhi",821.0,1804.0,54.0,Delhi,", ",,,,OYO,yes,89006 Bhera Residency,yes,yes,yes,yes,yes,yes,yes
52,52,OYO 82676 Aashiana Residency,₹500₹208075% offper room per nightView DetailsBook Now,3.7 (306 Ratings)·Good, AC  TV  Attached Bathroom ,"Vasant Kunj Enclave, Delhi",500.0,2080.0,75.0,Delhi,"Vasant Kunj Enclave, ",3.7,6 Ratings,Good,OYO,no,82676 Aashiana Residency,no,no,no,no,no,no,no
53,53,OYO HOME 87744 Khattar,₹489₹170371% offper room per nightView DetailsBook Now,NEW, Free Wifi  Geyser  CCTV Cameras  + 4 more,"India, Delhi",489.0,1703.0,71.0,Delhi,"India, ",,,,OYO,yes,HOME 87744 Khattar,yes,yes,yes,yes,yes,yes,yes
54,54,OYO 46761 Hotel Royal King Deluxe,₹625₹208069% offper room per nightView DetailsBook Now,3.3 (300 Ratings)·Fair, Private Entrance  Reception  Power backup  + 28 more,"Near Hariram Sweets, Burari village, Takia Chowk, Delhi",625.0,2080.0,69.0,Delhi,"Near Hariram Sweets, Burari village, Takia Chowk, ",3.3,0 Ratings,Fair,OYO,no,46761 Hotel Royal King Deluxe,no,no,no,no,no,no,no
55,55,Capital O 37878 Star Seventeen,₹1902₹392751% offper room per nightView DetailsBook Now,4.1 (849 Ratings)·Very Good, Parking Facility  Reception  Free Wifi  + 17 more,"block A pocket -2 sector 17, Delhi",1902.0,1902.0,51.0,Delhi,"block A pocket -2 sector 17, ",4.1,9 Ratings,Very,Capital O,yes,O 37878 Star Seventeen,yes,yes,yes,yes,yes,yes,yes
56,56,Capital O 85803 Prince Residency,₹747₹208064% offper room per nightView DetailsBook Now,3.9 (71 Ratings)·Good, Reception  Free Wifi  Caretaker  + 17 more,"Delhi, Delhi",747.0,2080.0,64.0,Delhi,", ",3.9,1 Ratings,Good,Capital O,yes,O 85803 Prince Residency,yes,yes,yes,yes,yes,yes,yes
57,57,Capital O 85598 Hotel Friend,₹598₹227873% offper room per nightView DetailsBook Now,3.9 (5 Ratings)·Good, Doctor on Call  Power backup  Security  + 10 more,"India, Delhi",598.0,2278.0,73.0,Delhi,"India, ",3.9,5 Ratings,Good,Capital O,no,O 85598 Hotel Friend,no,no,no,no,no,no,no
58,58,OYO71162 Mayur Palace,₹699₹198164% offper room per nightView DetailsBook Now,3.5 (384 Ratings)·Good, Parking Facility  Reception  Free Wifi  + 12 more,"Near Shraddhanand College, Alipur, Delhi",699.0,1981.0,64.0,Delhi,"Near Shraddhanand College, Alipur, ",3.5,4 Ratings,Good,OYO,yes,Mayur Palace,yes,yes,yes,yes,yes,yes,yes
59,59,OYO 84491 Blue Diamond ,₹500₹208075% offper room per nightView DetailsBook Now,3.8 (302 Ratings)·Good, Hair Dryer  Reception  Ticket Tour Assistance  + 17 more,"Opp. Metro Pillar No. 102, Near Sai Baba Mandir, Adarsh Nagar, Delhi",500.0,2080.0,75.0,Delhi,"Opp. Metro Pillar No. 102, Near Sai Baba Mandir, Adarsh Nagar, ",3.8,2 Ratings,Good,OYO,no,84491 Blue Diamond,no,no,no,no,no,no,no
60,60,OYO 73324 Hotel Unwind,₹645₹216670% offper room per nightView DetailsBook Now,4.1 (238 Ratings)·Very Good, Private Entrance  Doctor on Call  Parking Facility  + 18 more,"Near Aman Vihar, Police Station, Pocket 5, Delhi",645.0,2166.0,70.0,Delhi,"Near Aman Vihar, Police Station, Pocket 5, ",4.1,8 Ratings,Very,OYO,no,73324 Hotel Unwind,no,no,no,no,no,no,no
61,61,OYO 80790 Hotel Jagatpuri Inn,₹1300₹253448% offper room per nightView DetailsBook Now,4.9 (787 Ratings)·Fabulous, AC  TV ,"Krishna Nagar, Delhi",1300.0,1300.0,48.0,Delhi,"Krishna Nagar, ",4.9,7 Ratings,Fabulous,OYO,no,80790 Hotel Jagatpuri Inn,no,no,no,no,no,no,no
62,62,OYO 40670 Hare Rama Guest House,₹625₹194767% offper room per nightView DetailsBook Now,4.1 (1207 Ratings)·Very Good, AC  TV  Mini Fridge  + 11 more,"Paharganj, Delhi",625.0,1947.0,67.0,Delhi,"Paharganj, ",4.1,7 Ratings,Very,OYO,no,40670 Hare Rama Guest House,no,no,no,no,no,no,no
63,63,Townhouse 963 Hotel The Victorian Palace,₹1216₹236348% offper room per nightView DetailsBook Now,NEW, Doctor on Call  Parking Facility  Reception  + 19 more,"Opposite Jain Mandir, Delhi",1216.0,1216.0,48.0,Delhi,"Opposite Jain Mandir, ",,,,Townhouse,no,963 Hotel The Victorian Palace,no,no,no,no,no,no,no
64,64,OYO 80899 Osho Inn,₹821₹273369% offper room per nightView DetailsBook Now,4.5 (332 Ratings)·Excellent, Parking Facility  Reception  Seating Area  + 14 more,"Qutab Vihar Goyla Dairy, Near Ram Laxmi Furniture",821.0,2733.0,69.0,Delhi,"Qutab Vihar Goyla Dairy, Near Ram Laxmi Furniture",4.5,2 Ratings,Excellent,OYO,no,80899 Osho Inn,no,no,no,no,no,no,no
65,65,OYO 70788 Days Inn Guest House,₹652₹208068% offper room per nightView DetailsBook Now,3.2 (159 Ratings)·Fair, Private Entrance  Reception  Free Wifi  + 10 more,"Plot No. 4, Main Road Haiderpur, Shalimar Road, Opp. Gali No. 2, Delhi-110088",652.0,2080.0,68.0,Delhi,"Plot No. 4, Main Road Haiderpur, Shalimar Road, Opp. Gali No. 2, -110088",3.2,9 Ratings,Fair,OYO,yes,70788 Days Inn Guest House,yes,yes,yes,yes,yes,yes,yes
66,66,Collection O 83549 Clark village,₹664₹242672% offper room per nightView DetailsBook Now,4.2 (50 Ratings)·Very Good, Reception  Free Wifi  Bedside Table / Desk  + 14 more,"North Delhi, Delhi",664.0,2426.0,72.0,Delhi,"North , ",4.2,0 Ratings,Very,Collection O,yes,O 83549 Clark village,yes,yes,yes,yes,yes,yes,yes
67,67,OYO Flagship 87033 Jps Advance,₹565₹190870% offper room per nightView DetailsBook Now,2.7 (49 Ratings)·Fair, Reception  Free Wifi  Caretaker  + 13 more,"India, Delhi",565.0,1908.0,70.0,Delhi,"India, ",2.7,9 Ratings,Fair,OYO,yes,Flagship 87033 Jps Advance,yes,yes,yes,yes,yes,yes,yes
68,68,OYO 80801 CUBE STAY,₹1014₹193147% offper room per nightView DetailsBook Now,4.6 (247 Ratings)·Excellent, Free Wifi  AC  TV  + 3 more,"New Delhi 110061, Delhi",1014.0,1014.0,47.0,Delhi,"New  110061, ",4.6,7 Ratings,Excellent,OYO,yes,80801 CUBE STAY,yes,yes,yes,yes,yes,yes,yes
69,69,Capital O 84215 The Chaitanya's,₹747₹236268% offper room per nightView DetailsBook Now,3.7 (204 Ratings)·Good, Reception  Free Wifi  Power backup  + 16 more,"Delhi, Delhi",747.0,2362.0,68.0,Delhi,", ",3.7,4 Ratings,Good,Capital O,yes,O 84215 The Chaitanya's,yes,yes,yes,yes,yes,yes,yes
70,70,OYO 84761 Midtown,₹695₹211167% offper room per nightView DetailsBook Now,4.4 (43 Ratings)·Very Good, Hair Dryer  Reception  Free Wifi  + 16 more,"near Babbar Jewellers, Delhi",695.0,2111.0,67.0,Delhi,"near Babbar Jewellers, ",4.4,3 Ratings,Very,OYO,yes,84761 Midtown,yes,yes,yes,yes,yes,yes,yes
71,71,OYO 70849 Hotel Sarvasa Residency,₹949₹223557% offper room per nightView DetailsBook Now,4.3 (1379 Ratings)·Very Good, Reception  Free Wifi  Power backup  + 10 more,"Near Axis Bank, Rohini, Delhi",949.0,2235.0,57.0,Delhi,"Near Axis Bank, Rohini, ",4.3,9 Ratings,Very,OYO,yes,70849 Hotel Sarvasa Residency,yes,yes,yes,yes,yes,yes,yes
72,72,OYO Townhouse 654 MANNAT ROHINI,₹1216₹231547% offper room per nightView DetailsBook Now,4.5 (749 Ratings)·Excellent, Reception  Ticket Tour Assistance  Caretaker  + 15 more,", Delhi",1216.0,1216.0,47.0,Delhi,", ",4.5,9 Ratings,Excellent,OYO,no,Townhouse 654 MANNAT ROHINI,no,no,no,no,no,no,no
73,73,OYO 70020 Hotel Geetanjali Inn ,₹541₹224075% offper room per nightView DetailsBook Now,2.6 (82 Ratings)·Fair, Reception  Free Wifi  Power backup  + 13 more,"Near RK Ashram Metro Station, Pahar Ganj, Delhi",541.0,2240.0,75.0,Delhi,"Near RK Ashram Metro Station, Pahar Ganj, ",2.6,2 Ratings,Fair,OYO,yes,70020 Hotel Geetanjali Inn,yes,yes,yes,yes,yes,yes,yes
74,74,OYO 45288 Hotel 2 Yaars,₹1014₹222154% offper room per nightView DetailsBook Now,4.5 (135 Ratings)·Excellent, Free Wifi  Geyser  Power backup  + 9 more,"Ghitorni, Delhi",1014.0,1014.0,54.0,Delhi,"Ghitorni, ",4.5,5 Ratings,Excellent,OYO,yes,45288 Hotel 2 Yaars,yes,yes,yes,yes,yes,yes,yes
75,75,OYO Flagship 39600 Sathguru Residency,₹699₹195864% offper room per nightView DetailsBook Now,4.7 (1950 Ratings)·Excellent, Reception  Free Wifi  Power backup  + 11 more,"Delhi, Delhi",699.0,1958.0,64.0,Delhi,", ",4.7,0 Ratings,Excellent,OYO,yes,Flagship 39600 Sathguru Residency,yes,yes,yes,yes,yes,yes,yes
76,76,SPOT ON 69054 Anchal Guest House ,₹365₹158777% offper room per nightView DetailsBook Now,3.3 (82 Ratings)·Fair, TV  Reception  Free Wifi  + 8 more,"Near New Delhi Railway Station, Delhi",365.0,1587.0,77.0,Delhi,"Near New  Railway Station, ",3.3,2 Ratings,Fair,SPOT ON,yes,ON 69054 Anchal Guest House,yes,yes,yes,yes,yes,yes,yes
77,77,OYO 84922 Hotel Good Will Inn,₹695₹208066% offper room per nightView DetailsBook Now,3.9 (127 Ratings)·Good, Reception  Free Wifi  Caretaker  + 12 more,"Delhi, Delhi",695.0,2080.0,66.0,Delhi,", ",3.9,7 Ratings,Good,OYO,yes,84922 Hotel Good Will Inn,yes,yes,yes,yes,yes,yes,yes
78,78,CAPITAL O 19133 Oak Tree,₹1546₹311350% offper room per nightView DetailsBook Now,4.7 (950 Ratings)·Excellent, Elevator  Free Wifi  Geyser  + 9 more,"Near Bhagat Chandra Hospital, Mahavir Enclave I, Delhi",1546.0,1546.0,50.0,Delhi,"Near Bhagat Chandra Hospital, Mahavir Enclave I, ",4.7,0 Ratings,Excellent,,yes,O 19133 Oak Tree,yes,yes,yes,yes,yes,yes,yes
79,79,Capital O 85009 The Arrow,₹1014₹270762% offper room per nightView DetailsBook Now,4.5 (604 Ratings)·Excellent, Parking Facility  Reception  Free Wifi  + 17 more,"Near Nawada metro station, Opposite pillar 744, Delhi",1014.0,1014.0,62.0,Delhi,"Near Nawada metro station, Opposite pillar 744, ",4.5,4 Ratings,Excellent,Capital O,yes,O 85009 The Arrow,yes,yes,yes,yes,yes,yes,yes
80,80,OYO 64076 Discovery Inn,₹514₹225877% offper room per nightView DetailsBook Now,3.3 (399 Ratings)·Fair, Reception  Free Wifi  Power backup  + 10 more,"Near Metro Station, Eastend Apartments, New Ashok Nagar, Delhi",514.0,2258.0,77.0,Delhi,"Near Metro Station, Eastend Apartments, New Ashok Nagar, ",3.3,9 Ratings,Fair,OYO,yes,64076 Discovery Inn,yes,yes,yes,yes,yes,yes,yes
81,81,OYO 471 Sehej Continental,₹1478₹281547% offper room per nightView DetailsBook Now,4.8 (1177 Ratings)·Excellent, AC  AC  TV  + 3 more,"DB GUPTA ROAD KAROLBAGH, Delhi",1478.0,1478.0,47.0,Delhi,"DB GUPTA ROAD KAROLBAGH, ",4.8,7 Ratings,Excellent,OYO,no,471 Sehej Continental,no,no,no,no,no,no,no
82,82,OYO Flagship 78740 Tushika Residency,₹565₹153863% offper room per nightView DetailsBook Now,3.1 (218 Ratings)·Fair, Doctor on Call  Reception  Caretaker  + 12 more,"India, Delhi",565.0,1538.0,63.0,Delhi,"India, ",3.1,8 Ratings,Fair,OYO,no,Flagship 78740 Tushika Residency,no,no,no,no,no,no,no
83,83,Collection O 82480 Galaxy Motel,₹664₹233971% offper room per nightView DetailsBook Now,4.3 (211 Ratings)·Very Good, Free Wifi  AC  TV  + 2 more,"masudpur vasant kunj new delhi , Delhi",664.0,2339.0,71.0,Delhi,"masudpur vasant kunj new delhi , ",4.3,1 Ratings,Very,Collection O,yes,O 82480 Galaxy Motel,yes,yes,yes,yes,yes,yes,yes
84,84,Collection O 69662 Hotel Yuvraj,₹740₹233968% offper room per nightView DetailsBook Now,3.5 (162 Ratings)·Good, Reception  Free Wifi  Power backup  + 6 more,"Gali no. 2, Qutub Vihar, near Goyla Dairy, Dwarka",740.0,2339.0,68.0,Delhi,"Gali no. 2, Qutub Vihar, near Goyla Dairy, Dwarka",3.5,2 Ratings,Good,Collection O,yes,O 69662 Hotel Yuvraj,yes,yes,yes,yes,yes,yes,yes
85,85,OYO 81701 Dream sky,₹500₹148566% offper room per nightView DetailsBook Now,2.8 (302 Ratings)·Fair, Hair Dryer  Reception  Free Wifi  + 21 more,"Near New Ashok Nagar metro station Delhi, Delhi",500.0,1485.0,66.0,Delhi,"Near New Ashok Nagar metro station , ",2.8,2 Ratings,Fair,OYO,yes,81701 Dream sky,yes,yes,yes,yes,yes,yes,yes
86,86,OYO 45956 Hotel Woodland Dx,₹713₹172458% offper room per nightView DetailsBook Now,4.2 (200 Ratings)·Very Good, Reception  Power backup  Daily Housekeeping  + 47 more,"Near New Delhi Railway Station, Delhi",713.0,1724.0,58.0,Delhi,"Near New  Railway Station, ",4.2,0 Ratings,Very,OYO,no,45956 Hotel Woodland Dx,no,no,no,no,no,no,no
87,87,Townhouse 712 Sector 24 Rohini,₹775₹270971% offper room per nightView DetailsBook Now,3.2 (219 Ratings)·Fair, Reception  Free Wifi  Power backup  + 12 more,"Near Rithala Metro and JIMS , Sector 24, Rohini",775.0,2709.0,71.0,Delhi,"Near Rithala Metro and JIMS , Sector 24, Rohini",3.2,9 Ratings,Fair,Townhouse,yes,712 Sector 24 Rohini,yes,yes,yes,yes,yes,yes,yes
88,88,OYO 86477 Z-Heart,₹868₹200756% offper room per nightView DetailsBook Now,4.7 (4 Ratings)·Excellent, Elevator  Free Wifi  Geyser  + 7 more,"New Delhi, Delhi",868.0,2007.0,56.0,Delhi,"New , ",4.7,4 Ratings,Excellent,OYO,yes,86477 Z-Heart,yes,yes,yes,yes,yes,yes,yes
89,89,OYO 84801 Narela Inn,₹500₹208075% offper room per nightView DetailsBook Now,1.6 (13 Ratings)·Fair, Reception  Public Washroom  Power backup  + 27 more,"North Delhi, Delhi",500.0,2080.0,75.0,Delhi,"North , ",1.6,3 Ratings,Fair,OYO,no,84801 Narela Inn,no,no,no,no,no,no,no
90,90,OYO 88326 Hotel Cloud 9,₹791₹196759% offper room per nightView DetailsBook Now,4.6 (27 Ratings)·Excellent, Reception  Geyser  Bedside Table / Desk  + 9 more,"Delhi, Delhi",791.0,1967.0,59.0,Delhi,", ",4.6,7 Ratings,Excellent,OYO,no,88326 Hotel Cloud 9,no,no,no,no,no,no,no
91,91,OYO 6886 Hotel Gold Palace,₹759₹228766% offper room per nightView DetailsBook Now,2.4 (19 Ratings)·Fair, Elevator  Free Wifi  Geyser  + 8 more,"Near Faiz Road, Karol Bagh, Delhi",759.0,2287.0,66.0,Delhi,"Near Faiz Road, Karol Bagh, ",2.4,9 Ratings,Fair,OYO,yes,6886 Hotel Gold Palace,yes,yes,yes,yes,yes,yes,yes
92,92,OYO 6801 Hotel Shri Sai International,₹1247₹312860% offper room per nightView DetailsBook Now,4.7 (1558 Ratings)·Excellent, Free Wifi  CCTV Cameras  TV  + 3 more,"Paharganj, Delhi",1247.0,1247.0,60.0,Delhi,"Paharganj, ",4.7,8 Ratings,Excellent,OYO,yes,6801 Hotel Shri Sai International,yes,yes,yes,yes,yes,yes,yes
93,93,OYO 80919 Hotel Vinayaka Inn,₹541₹224075% offper room per nightView DetailsBook Now,3.3 (15 Ratings)·Fair, Doctor on Call  Reception  Ticket Tour Assistance  + 24 more,"8881Multani Dhanda, Delhi",541.0,2240.0,75.0,Delhi,"8881Multani Dhanda, ",3.3,5 Ratings,Fair,OYO,no,80919 Hotel Vinayaka Inn,no,no,no,no,no,no,no
94,94,OYO 5401 Hotel Mid Town,₹1261₹242648% offper room per nightView DetailsBook Now,3.8 (329 Ratings)·Good, Free Wifi  Geyser  Power backup  + 6 more,Near Karol bagh metro station,1261.0,1261.0,48.0,Delhi,Near Karol bagh metro station,3.8,9 Ratings,Good,OYO,yes,5401 Hotel Mid Town,yes,yes,yes,yes,yes,yes,yes
95,95,OYO 86607 Hotel Mayur ,₹799₹176254% offper room per nightView DetailsBook Now,3.9 (138 Ratings)·Good, Hair Dryer  Reception  Free Wifi  + 16 more,"India - 110033, Delhi",799.0,1762.0,54.0,Delhi,"India - 110033, ",3.9,8 Ratings,Good,OYO,yes,86607 Hotel Mayur,yes,yes,yes,yes,yes,yes,yes
96,96,SPOT ON 40693 Chahal Guest House,₹549₹111550% offper room per nightView DetailsBook Now,3.4 (1284 Ratings)·Fair, AC  Parking Facility  Reception  + 9 more,"Near Beside Sonia Hospital, Rajdhani Park, Delhi",549.0,1115.0,50.0,Delhi,"Near Beside Sonia Hospital, Rajdhani Park, ",3.4,4 Ratings,Fair,SPOT ON,no,ON 40693 Chahal Guest House,no,no,no,no,no,no,no
97,97,OYO 79029 Jannat Residency,₹713₹207665% offper room per nightView DetailsBook Now,3.7 (225 Ratings)·Good, Reception  Free Wifi  24/7 Checkin  + 10 more,"Nangloi, Delhi",713.0,2076.0,65.0,Delhi,"Nangloi, ",3.7,5 Ratings,Good,OYO,yes,79029 Jannat Residency,yes,yes,yes,yes,yes,yes,yes
98,98,OYO 337 Hotel Anand,₹1014₹251459% offper room per nightView DetailsBook Now,4.5 (3127 Ratings)·Excellent, Elevator  Free Wifi  Power backup  + 5 more,Near Karol Bagh Metro Station,1014.0,1014.0,59.0,Delhi,Near Karol Bagh Metro Station,4.5,7 Ratings,Excellent,OYO,yes,337 Hotel Anand,yes,yes,yes,yes,yes,yes,yes
99,99,Collection O 84003 Hotel Chopra International,₹899₹176148% offper room per nightView DetailsBook Now,4.4 (423 Ratings)·Very Good, Reception  Ticket Tour Assistance  Free Wifi  + 15 more,"near New Delhi Railway Station and RK Ashram Metro Station, Delhi",899.0,1761.0,48.0,Delhi,"near New  Railway Station and RK Ashram Metro Station, ",4.4,3 Ratings,Very,Collection O,yes,O 84003 Hotel Chopra International,yes,yes,yes,yes,yes,yes,yes
100,100,OYO 88548 Hotel Red Heart,₹636₹160060% offper room per nightView DetailsBook Now,4.3 (12 Ratings)·Very Good, Free Wifi  Geyser  CCTV Cameras  + 5 more,"khasra no 48 main budh bazar road nathupura  near 30 Foota Delhi, Delhi",636.0,1600.0,60.0,Delhi,"khasra no 48 main budh bazar road nathupura  near 30 Foota , ",4.3,2 Ratings,Very,OYO,yes,88548 Hotel Red Heart,yes,yes,yes,yes,yes,yes,yes
101,101,OYO Flagship 75860 Green High,₹1372₹261447% offper room per nightView DetailsBook Now,4.5 (1311 Ratings)·Excellent, Hair Dryer  Free Wifi  Power backup  + 7 more,"NEAR FRUIT POWER, Laxmi Nagar Metro Station, Delhi",1372.0,1372.0,47.0,Delhi,"NEAR FRUIT POWER, Laxmi Nagar Metro Station, ",4.5,1 Ratings,Excellent,OYO,yes,Flagship 75860 Green High,yes,yes,yes,yes,yes,yes,yes
102,102,Townhouse 775 Hotel Casanova,₹807₹167251% offper room per nightView DetailsBook Now,2.3 (84 Ratings)·Fair, Parking Facility  Reception  Free Wifi  + 21 more,"Rajouri Garden Tehsil, Delhi",807.0,1672.0,51.0,Delhi,"Rajouri Garden Tehsil, ",2.3,4 Ratings,Fair,Townhouse,yes,775 Hotel Casanova,yes,yes,yes,yes,yes,yes,yes
103,103,OYO 77732 Khanpur STAY,₹565₹179068% offper room per nightView DetailsBook Now,3.4 (804 Ratings)·Fair, AC  King Sized Bed  Modern Wardrobe  + 1 more,"India, Delhi",565.0,1790.0,68.0,Delhi,"India, ",3.4,4 Ratings,Fair,OYO,no,77732 Khanpur STAY,no,no,no,no,no,no,no
104,104,OYO 76751 Classic Inn,₹514₹208075% offper room per nightView DetailsBook Now,3.2 (101 Ratings)·Fair, Reception  Caretaker  Security  + 11 more,"Near Divine Hospital, Gali no 12 wazirabad Jagatpur Road",514.0,2080.0,75.0,Delhi,"Near Divine Hospital, Gali no 12 wazirabad Jagatpur Road",3.2,1 Ratings,Fair,OYO,no,76751 Classic Inn,no,no,no,no,no,no,no
105,105, Townhouse  478 The Grey Orchid,₹1612₹306947% offper room per nightView DetailsBook Now,4.6 (977 Ratings)·Excellent, Hair Dryer  AC  TV  + 3 more,Palam colony ram chowk main market opposite pillar number 57,1612.0,1612.0,47.0,Delhi,Palam colony ram chowk main market opposite pillar number 57,4.6,7 Ratings,Excellent,Townhouse,no,478 The Grey Orchid,no,no,no,no,no,no,no
106,106,Townhouse 856 BROSTAY Vasant Kunj,₹1216₹231547% offper room per nightView DetailsBook Now,4.7 (211 Ratings)·Excellent, Reception  Ticket Tour Assistance  Caretaker  + 22 more,"vasant kunj delhi, Delhi",1216.0,1216.0,47.0,Delhi,"vasant kunj delhi, ",4.7,1 Ratings,Excellent,Townhouse,no,856 BROSTAY Vasant Kunj,no,no,no,no,no,no,no
107,107,OYO 46441 1 Plus One Hotel Residency,₹541₹214474% offper room per nightView DetailsBook Now,3.2 (184 Ratings)·Fair, Parking Facility  Elevator  Reception  + 8 more,"Matiala Extension, Sukh Ram Park, Matiala, Delhi",541.0,2144.0,74.0,Delhi,"Matiala Extension, Sukh Ram Park, Matiala, ",3.2,4 Ratings,Fair,OYO,no,46441 1 Plus One Hotel Residency,no,no,no,no,no,no,no
108,108,Collection O 42944 Garg Trade Centre Sector 11,₹808₹304673% offper room per nightView DetailsBook Now,4.1 (877 Ratings)·Very Good, Parking Facility  Free Wifi  Power backup  + 8 more,"Near Garg Trade Centre Anusha Tower , Sector 16, Delhi",808.0,3046.0,73.0,Delhi,"Near Garg Trade Centre Anusha Tower , Sector 16, ",4.1,7 Ratings,Very,Collection O,yes,O 42944 Garg Trade Centre Sector 11,yes,yes,yes,yes,yes,yes,yes
109,109,OYO DEL2869 Unique International,₹1000₹284364% offper room per nightView DetailsBook Now,4.6 (1023 Ratings)·Excellent, Reception  Public Washroom  Free Wifi  + 16 more,"India, Delhi",1000.0,1000.0,64.0,Delhi,"India, ",4.6,3 Ratings,Excellent,OYO,yes,DEL2869 Unique International,yes,yes,yes,yes,yes,yes,yes
110,110,OYO 85103 Relax Residence Hotel ,₹625₹221171% offper room per nightView DetailsBook Now,3.4 (116 Ratings)·Fair, Reception  Free Wifi  Geyser  + 9 more,", Delhi",625.0,2211.0,71.0,Delhi,", ",3.4,6 Ratings,Fair,OYO,yes,85103 Relax Residence Hotel,yes,yes,yes,yes,yes,yes,yes
111,111,Capital O 84658 Hotel Moonlight Inn,₹811₹252767% offper room per nightView DetailsBook Now,3.9 (32 Ratings)·Good, Reception  Geyser  Power backup  + 9 more,"Rohini, Delhi",811.0,2527.0,67.0,Delhi,"Rohini, ",3.9,2 Ratings,Good,Capital O,no,O 84658 Hotel Moonlight Inn,no,no,no,no,no,no,no
112,112,OYO 80879 Townhouse 421 Kirti Nagar Oth,₹994₹189447% offper room per nightView DetailsBook Now,4.3 (203 Ratings)·Very Good, Hair Dryer  AC  TV  + 1 more,"Kirti Nagar, Delhi",994.0,1894.0,47.0,Delhi,"Kirti Nagar, ",4.3,3 Ratings,Very,OYO,no,80879 Townhouse 421 Kirti Nagar Oth,no,no,no,no,no,no,no
113,113,OYO Comfort Home,₹899₹181850% offper room per nightView DetailsBook Now,4.7 (672 Ratings)·Excellent, Free Wifi  CCTV Cameras  AC  + 4 more,"Lajpat Nagar II, Delhi",899.0,1818.0,50.0,Delhi,"Lajpat Nagar II, ",4.7,2 Ratings,Excellent,OYO,yes,Comfort Home,yes,yes,yes,yes,yes,yes,yes
114,114,Capital O 88320 Hotel Grand Stays,₹985₹220655% offper room per nightView DetailsBook Now,NEW, Reception  Ticket Tour Assistance  Caretaker  + 16 more,"Delhi, Delhi",985.0,2206.0,55.0,Delhi,", ",,,,Capital O,no,O 88320 Hotel Grand Stays,no,no,no,no,no,no,no
115,115,Townhouse 899 Hotel Singh,₹715₹210165% offper room per nightView DetailsBook Now,3.1 (8 Ratings)·Fair, Reception  Ticket Tour Assistance  Public Washroom  + 32 more,"India, Delhi",715.0,2101.0,65.0,Delhi,"India, ",3.1,8 Ratings,Fair,Townhouse,no,899 Hotel Singh,no,no,no,no,no,no,no
116,116,OYO 463 Hotel Metro View Inn,₹1340₹258448% offper room per nightView DetailsBook Now,4.2 (797 Ratings)·Very Good, Free Wifi  Power backup  Card Payment  + 11 more,"Near hotel jaypee, patel nagar, Delhi",1340.0,1340.0,48.0,Delhi,"Near hotel jaypee, patel nagar, ",4.2,7 Ratings,Very,OYO,yes,463 Hotel Metro View Inn,yes,yes,yes,yes,yes,yes,yes
117,117,OYO 81379 Collection O Hotel Green Plaza,₹1014₹349370% offper room per nightView DetailsBook Now,4.2 (853 Ratings)·Very Good, Private Entrance  Free Wifi  Power backup  + 6 more,"near Lal batti, Delhi",1014.0,1014.0,70.0,Delhi,"near Lal batti, ",4.2,3 Ratings,Very,OYO,yes,81379 Collection O Hotel Green Plaza,yes,yes,yes,yes,yes,yes,yes
118,118,OYO Townhouse 811 The Leaf Residency,₹715₹293975% offper room per nightView DetailsBook Now,4.0 (155 Ratings)·Very Good, Parking Facility  Reception  Caretaker  + 19 more,"India, Delhi",715.0,2939.0,75.0,Delhi,"India, ",4.0,5 Ratings,Very,OYO,no,Townhouse 811 The Leaf Residency,no,no,no,no,no,no,no
119,119,POP 88630 Shiv Rattan Kutir,₹541₹119754% offper room per nightView DetailsBook Now,NEW, Free Wifi  Geyser  CCTV Cameras  + 4 more,"India, Delhi",541.0,1197.0,54.0,Delhi,"India, ",,,,,yes,88630 Shiv Rattan Kutir,yes,yes,yes,yes,yes,yes,yes
